Mass,Radius,Gravity
0.005727528,0.086,0.00240411244522636
0.007636704,0.08854818,0.005573726798954914
0.008591292,0.09678521999999999,0.006077986957552885
0.008591292,0.09678521999999999,0.0071177118025840995
0.00954588,0.09678521999999999,0.009795327194984781
0.0105959268,0.09678521999999999,0.023319728894426524
0.011455056,0.09678521999999999,0.032266960171714584
0.011455056,0.09678521999999999,0.04558490218164664
0.014318820000000001,0.09678521999999999,0.058305519017766566
0.014318820000000001,0.09678521999999999,0.0638188630543053
0.016227996,0.09678521999999999,0.11656439362031894
0.016227996,0.09678521999999999,0.12645572733460908
0.017182584,0.09678521999999999,0.14606050018557193
0.018137172,0.09678521999999999,0.20989986846395964
0.01909176,0.09678521999999999,0.21250193294905007
0.01909176,0.09678521999999999,0.22682941046987445
0.01909176,0.09678521999999999,0.2678409779878652
0.01909176,0.09678521999999999,0.30098124714356533
0.020046348000000002,0.09678521999999999,0.32912299375148873
0.020046348000000002,0.09678521999999999,0.44629597278924754
0.021000936,0.09678521999999999,0.5041712526830403
0.021000936,0.09678521999999999,0.6232603088337749
0.021955524,0.09781485,0.8161153386021839
0.021955524,0.09781485,0.973736667903813
0.022910112,0.09884448,1.01332978543217
0.022910112,0.09884448,1.2951599291146547
0.0238647,0.09884448,1.4245281931764575
0.0238647,0.09884448,2.3126245862715553
0.024819288000000002,0.09884448,4.952082081908975
0.025773876,0.09987411,4.975404289516081
0.025773876,0.09987411,6.729227876719916
0.025773876,0.09987411,17.102648897988928
0.026728464,0.09987411,17.491655705329972
0.027683052,0.09987411,18.98056480689093
0.027683052,0.09987411,20.759992757536956
0.028637640000000002,0.09987411,20.759992757536956
0.028637640000000002,0.09987411,21.00019133392518
0.028637640000000002,0.09987411,21.2464259657665
0.029592228,0.09987411,22.62720582041485
0.030546816,0.1,24.17799770442525
0.034365168,0.10090373999999999,31.176754176608036
0.035319756,0.10090373999999999,37.02633679704249
0.035319756,0.10090373999999999,38.937617567949246
0.036274344,0.10090373999999999,45.08960137373948
